date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:18	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Aug%202025%2014:18:18%20GMT	https://fbinsta-support-services.vercel.app/robots.txt		(from )
19:48:18	7347/7347	---MCZ	200	added ('OK')	text/html	etag:W/%22e88bf26823e346d2d51b20f899834839%22	https://fbinsta-support-services.vercel.app/	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/index.html	(from )
19:48:19	73960/73960	---MCZ	200	added ('OK')	text/css	etag:W/%22fca06c87a2c663e0d62c34dba1f38bf1%22	https://fbinsta-support-services.vercel.app/Base.css	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/Base.css	(from https://fbinsta-support-services.vercel.app/)
19:48:19	34365/34365	---MCZ	200	added ('OK')	text/css	etag:W/%22da48292f354615e732409c153bd928cf%22	https://fbinsta-support-services.vercel.app/all.css	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/all.css	(from https://fbinsta-support-services.vercel.app/)
19:48:19	239/239	---M--	200	added ('OK')	application/javascript	etag:%22a04ef61dd1806f6819cb6c364c7ba442%22	https://fbinsta-support-services.vercel.app/text.js	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/text.js	(from https://fbinsta-support-services.vercel.app/)
19:48:20	37571/37571	---M--	200	added ('OK')	image/jpeg	etag:%22e96e26040150190f5a65d334a5010fee%22	https://fbinsta-support-services.vercel.app/globalnav/apple/contact-us-hero.image.large_2x.jpg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/apple/contact-us-hero.image.large_2x.jpg	(from https://fbinsta-support-services.vercel.app/)
19:48:20	39979/39979	---M--	200	added ('OK')	image/jpeg	etag:%22acab60556cf1a6277d58132654c46542%22	https://fbinsta-support-services.vercel.app/globalnav/apple/contact-us-hero.image.small_2x.jpg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/apple/contact-us-hero.image.small_2x.jpg	(from https://fbinsta-support-services.vercel.app/)
19:48:20	741/741	---M--	200	added ('OK')	image/png	etag:%22a53ea0199e586dc543e3e37f3a096f37%22	https://fbinsta-support-services.vercel.app/globalnav/apple/us.png	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/apple/us.png	(from https://fbinsta-support-services.vercel.app/)
19:48:21	97362/97362	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cbb11b58473b2d672f4ed53abbb67336%22	https://fbinsta-support-services.vercel.app/jquery-1.12.0.min.js	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/jquery-1.12.0.min.js	(from https://fbinsta-support-services.vercel.app/)
19:48:22	761/761	---M--	200	added ('OK')	text/html	etag:%222b7b1070ccf0dae087211fd03b885ec2%22	https://fbinsta-support-services.vercel.app/globalnav/apple/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/apple/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:22	1484/1484	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226cbb4bfb27dd56b0ed09a961f28145b%22	https://fbinsta-support-services.vercel.app/globalnav/apple/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/apple/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:23	769/769	---M--	200	added ('OK')	text/html	etag:%22b06d6c6b1a00875663c2b8e656525f19%22	https://fbinsta-support-services.vercel.app/globalnav/links/mac/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/mac/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:23	769/769	---M--	200	added ('OK')	text/html	etag:%220fe39ba423a97511d381b4af6aa173d3%22	https://fbinsta-support-services.vercel.app/globalnav/links/mac/image_small.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/mac/image_small.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:24	771/771	---M--	200	added ('OK')	text/html	etag:%227993ead10dbc6d339c64ee7691613aba%22	https://fbinsta-support-services.vercel.app/globalnav/links/ipad/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/ipad/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:24	771/771	---M--	200	added ('OK')	text/html	etag:%22e8781e77a077561b6f8529fd0f38a949%22	https://fbinsta-support-services.vercel.app/globalnav/links/ipad/image_small.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/ipad/image_small.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:25	775/775	---M--	200	added ('OK')	text/html	etag:%22931827e0f617d0fb01a2ad396ef5b389%22	https://fbinsta-support-services.vercel.app/globalnav/links/iphone/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/iphone/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:25	775/775	---M--	200	added ('OK')	text/html	etag:%22847b96adb8a9a0cb5214e73942ad7fa7%22	https://fbinsta-support-services.vercel.app/globalnav/links/iphone/image_small.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/iphone/image_small.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:26	773/773	---M--	200	added ('OK')	text/html	etag:%22509fb1432a63aa48e890c1bc595f0e6c%22	https://fbinsta-support-services.vercel.app/globalnav/links/watch/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/watch/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
